rgroup_id,linker_id,linker_smiles,aryl_smiles,fragment_smiles,aryl_heavy_atoms,aryl_mw,chembl_pool_frequency
rg0000,direct,,c1ccccc1,[*]c1ccccc1,6,78.11,1144
rg0001,1C,C,c1ccccc1,[*]Cc1ccccc1,6,78.11,1144
rg0002,2C,CC,c1ccccc1,[*]CCc1ccccc1,6,78.11,1144
rg0003,3C,CCC,c1ccccc1,[*]CCCc1ccccc1,6,78.11,1144
rg0004,alpha_Me,C(C),c1ccccc1,[*]C(C)c1ccccc1,6,78.11,1144
rg0005,gem_diMe,C(C)(C),c1ccccc1,[*]C(C)(C)c1ccccc1,6,78.11,1144
rg0006,direct,,c1ccc(-c2ccccc2)cc1,[*]c1ccc(-c2ccccc2)cc1,12,154.21,98
rg0007,1C,C,c1ccc(-c2ccccc2)cc1,[*]Cc1ccc(-c2ccccc2)cc1,12,154.21,98
rg0008,2C,CC,c1ccc(-c2ccccc2)cc1,[*]CCc1ccc(-c2ccccc2)cc1,12,154.21,98
rg0009,3C,CCC,c1ccc(-c2ccccc2)cc1,[*]CCCc1ccc(-c2ccccc2)cc1,12,154.21,98
rg0010,alpha_Me,C(C),c1ccc(-c2ccccc2)cc1,[*]C(C)c1ccc(-c2ccccc2)cc1,12,154.21,98
rg0011,gem_diMe,C(C)(C),c1ccc(-c2ccccc2)cc1,[*]C(C)(C)c1ccc(-c2ccccc2)cc1,12,154.21,98
rg0012,direct,,c1c[nH]cn1,[*]c1c[nH]cn1,5,68.08,62
rg0013,1C,C,c1c[nH]cn1,[*]Cc1c[nH]cn1,5,68.08,62
rg0014,2C,CC,c1c[nH]cn1,[*]CCc1c[nH]cn1,5,68.08,62
rg0015,3C,CCC,c1c[nH]cn1,[*]CCCc1c[nH]cn1,5,68.08,62
rg0016,alpha_Me,C(C),c1c[nH]cn1,[*]C(C)c1c[nH]cn1,5,68.08,62
rg0017,gem_diMe,C(C)(C),c1c[nH]cn1,[*]C(C)(C)c1c[nH]cn1,5,68.08,62
rg0018,direct,,c1ccc(-c2cscn2)cc1,[*]c1ccc(-c2cscn2)cc1,11,161.23,60
rg0019,1C,C,c1ccc(-c2cscn2)cc1,[*]Cc1ccc(-c2cscn2)cc1,11,161.23,60
rg0020,2C,CC,c1ccc(-c2cscn2)cc1,[*]CCc1ccc(-c2cscn2)cc1,11,161.23,60
rg0021,3C,CCC,c1ccc(-c2cscn2)cc1,[*]CCCc1ccc(-c2cscn2)cc1,11,161.23,60
rg0022,alpha_Me,C(C),c1ccc(-c2cscn2)cc1,[*]C(C)c1ccc(-c2cscn2)cc1,11,161.23,60
rg0023,gem_diMe,C(C)(C),c1ccc(-c2cscn2)cc1,[*]C(C)(C)c1ccc(-c2cscn2)cc1,11,161.23,60
