pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier
1PIN,X-RAY DIFFRACTION,1.35,ALA,ALANINE,C3 H7 N O2,89.093,L-peptide linking,C[C@@H](C(=O)O)N,6,A,additive_code,
1PIN,X-RAY DIFFRACTION,1.35,PRO,PROLINE,C5 H9 N O2,115.13,L-peptide linking,C1C[C@H](NC1)C(=O)O,8,A,additive_code,
1PIN,X-RAY DIFFRACTION,1.35,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,A,additive_code,
1PIN,X-RAY DIFFRACTION,1.35,1PG,2-(2-{2-[2-(2-METHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHANOL,C11 H24 O6,252.305,non-polymer,COCCOCCOCCOCCOCCO,17,A,additive_polyether_structure,
1ZCN,X-RAY DIFFRACTION,1.9,PO4,PHOSPHATE ION,O4 P,94.971,non-polymer,[O-]P(=O)([O-])[O-],5,A,additive_code,
1ZCN,X-RAY DIFFRACTION,1.9,1PE,PENTAETHYLENE GLYCOL,C10 H22 O6,238.278,non-polymer,C(COCCOCCOCCOCCO)O,16,A,additive_code,
2F21,X-RAY DIFFRACTION,1.5,1PE,PENTAETHYLENE GLYCOL,C10 H22 O6,238.278,non-polymer,C(COCCOCCOCCOCCO)O,16,A,additive_code,
2ITK,X-RAY DIFFRACTION,1.45,PE4,2-{2-[2-(2-{2-[2-(2-ETHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHOXY]-ETHOXY}-ETHANOL,C16 H34 O8,354.436,non-polymer,CCOCCOCCOCCOCCOCCOCCOCCO,24,A,additive_code,
2M9F,SOLUTION NMR,,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,C8 H15 N O6,221.208,"D-saccharide, beta linking",CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O,15,A,additive_code,
2M9J,SOLUTION NMR,,NAG,2-acetamido-2-deoxy-beta-D-glucopyranose,C8 H15 N O6,221.208,"D-saccharide, beta linking",CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O,15,A,additive_code,
2Q5A,X-RAY DIFFRACTION,1.5,16P,"3,6,9,12,15,18-HEXAOXAICOSANE",C14 H30 O6,294.384,non-polymer,CCOCCOCCOCCOCCOCCOCC,20,A,additive_name,
2XP3,X-RAY DIFFRACTION,2.0,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP3,X-RAY DIFFRACTION,2.0,B21,5-(2-METHOXYPHENYL)-2-FUROIC ACID,C12 H10 O4,218.205,non-polymer,COc1ccccc1c2ccc(o2)C(=O)O,16,A,ligand,drug_like
2XP4,X-RAY DIFFRACTION,1.8,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP4,X-RAY DIFFRACTION,1.8,G14,2-phenyl-1H-imidazole-4-carboxylic acid,C10 H8 N2 O2,188.183,non-polymer,c1ccc(cc1)c2[nH]cc(n2)C(=O)O,14,A,ligand,drug_like
2XP5,X-RAY DIFFRACTION,1.9,4FF,5-METHYL-2-PHENYL-1H-IMIDAZOLE-4-CARBOXYLIC ACID,C11 H10 N2 O2,202.209,non-polymer,Cc1c(nc([nH]1)c2ccccc2)C(=O)O,15,A,ligand,drug_like
2XP5,X-RAY DIFFRACTION,1.9,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP6,X-RAY DIFFRACTION,1.9,4G2,2-(3-CHLORO-PHENYL)-5-METHYL-1H-IMIDAZOLE-4-CARBOXYLIC ACID,C11 H9 Cl N2 O2,236.654,non-polymer,Cc1c(nc([nH]1)c2cccc(c2)Cl)C(=O)O,16,A,ligand,drug_like
2XP6,X-RAY DIFFRACTION,1.9,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP7,X-RAY DIFFRACTION,2.0,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP7,X-RAY DIFFRACTION,2.0,4F8,"2-PHENYL-1H-IMIDAZOLE-4,5-DICARBOXYLIC ACID",C11 H8 N2 O4,232.192,non-polymer,c1ccc(cc1)c2[nH]c(c(n2)C(=O)O)C(=O)O,17,A,ligand,drug_like
2XP8,X-RAY DIFFRACTION,2.1,4FY,4-(MORPHOLIN-4-YLCARBONYL)-2-PHENYL-1H-IMIDAZOLE-5-CARBOXYLIC ACID,C15 H15 N3 O4,301.297,non-polymer,c1ccc(cc1)c2[nH]c(c(n2)C(=O)N3CCOCC3)C(=O)O,22,A,ligand,drug_like
2XP8,X-RAY DIFFRACTION,2.1,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP9,X-RAY DIFFRACTION,1.9,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
2XP9,X-RAY DIFFRACTION,1.9,4G8,4-[BENZYL(CARBOXYMETHYL)CARBAMOYL]-2-PHENYL-1H-IMIDAZOLE-5-CARBOXYLIC ACID,C20 H17 N3 O5,379.366,non-polymer,c1ccc(cc1)CN(CC(=O)O)C(=O)c2c([nH]c(n2)c3ccccc3)C(=O)O,28,A,ligand,drug_like
2XPA,X-RAY DIFFRACTION,1.9,12P,DODECAETHYLENE GLYCOL,C24 H50 O13,546.646,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,37,A,additive_code,
