case_id,ligand_prep_ok,cross_affinity,cross_ok,cross_pose_dir,self_ok,self_affinity,self_pose_dir,self_seconds,self_error
2XP3_B21_A1165,True,-5.8,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.3,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP3_B21_A1165/poses,2.6,
2XP4_G14_A1165,True,-5.7,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.3,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP4_G14_A1165/poses,2.5,
2XP5_4FF_A1165,True,-5.8,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.2,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP5_4FF_A1165/poses,2.6,
2XP6_4G2_A1165,True,-5.6,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.6,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP6_4G2_A1165/poses,2.2,
2XP7_4F8_A1164,True,-5.9,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-7.2,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP7_4F8_A1164/poses,2.1,
2XP8_4FY_A1165,True,-6.1,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.7,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP8_4FY_A1165/poses,3.2,
2XP9_4G8_A1165,True,-6.4,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.7,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XP9_4G8_A1165/poses,4.0,
2XPA_4G5_A1165,True,-5.8,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.2,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XPA_4G5_A1165/poses,3.0,
2XPB_4GE_A1165,True,-7.0,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-7.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/2XPB_4GE_A1165/poses,4.0,
3IKD_J9Z_A501,True,-6.6,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-7.5,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3IKD_J9Z_A501/poses,3.9,
3IKG_J8Z_A1,True,-6.7,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-7.5,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3IKG_J8Z_A1/poses,4.0,
3JYJ_JZI_A301,True,-6.8,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-7.6,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3JYJ_JZI_A301/poses,4.0,
3KAB_4BL_A166,True,-5.5,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-5.4,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAB_4BL_A166/poses,1.9,
3KAC_4BX_A1,True,-5.5,True,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/cross/poses,True,-6.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/dock_1/self/3KAC_4BX_A1/poses,12.5,
