case_id,pdb_id,comp_id,tier,heavy_atoms,resolution_a,ref_in_prod_box,n_rot_bonds,self_rmsd_a,self_affinity,self_rmsd_calcrms_check,cross_rmsd_a,cross_affinity,cross_rmsd_calcrms_check,self_rmsd_error,cross_rmsd_error
2XP3_B21_A1165,2XP3,B21,drug_like,16,2.0,True,3,2.3146520661861905,-6.3,2.3146520661861905,3.7642627598242933,-5.8,3.7642627598242933,,
2XP4_G14_A1165,2XP4,G14,drug_like,14,1.8,True,2,0.6391458586046129,-6.3,0.639145858604613,3.029147204365329,-5.7,3.029147204365329,,
2XP5_4FF_A1165,2XP5,4FF,drug_like,15,1.9,True,2,0.5720623509140703,-6.2,0.5720623509140704,3.165171253923975,-5.8,3.165171253923975,,
2XP6_4G2_A1165,2XP6,4G2,drug_like,16,1.9,True,2,0.361415705939849,-6.6,0.361415705939849,3.1076060118683007,-5.6,3.1076060118683,,
2XP7_4F8_A1164,2XP7,4F8,drug_like,17,2.0,True,3,0.7995999367330703,-7.2,0.7995999367330703,3.333401504204871,-5.9,3.3334015042048715,,
2XP8_4FY_A1165,2XP8,4FY,drug_like,22,2.1,True,3,4.0737006573206305,-6.7,4.07370065732063,4.93828906238146,-6.1,4.938289062381461,,
2XP9_4G8_A1165,2XP9,4G8,drug_like,28,1.9,True,7,1.2269172896794167,-6.7,1.2269172896794165,5.768385689626321,-6.4,5.768385689626321,,
2XPA_4G5_A1165,2XPA,4G5,drug_like,22,1.9,True,5,4.273159811278684,-6.2,4.273159811278684,6.867152986235538,-5.8,6.867152986235538,,
2XPB_4GE_A1165,2XPB,4GE,drug_like,26,2.0,True,5,6.354674070199159,-7.0,6.354674070199159,6.570994451140792,-7.0,6.570994451140793,,
3IKD_J9Z_A501,3IKD,J9Z,drug_like,26,2.0,True,7,5.073842698662349,-7.5,5.073842698662349,2.4955805398282043,-6.6,2.4955805398282043,,
3IKG_J8Z_A1,3IKG,J8Z,drug_like,27,1.86,True,7,0.7994233569915905,-7.5,0.7994233569915905,2.674076787728181,-6.7,2.674076787728181,,
3JYJ_JZI_A301,3JYJ,JZI,drug_like,26,1.87,True,6,7.025271141769877,-7.6,7.025271141769876,9.057742213156654,-6.8,9.057742213156653,,
3KAB_4BL_A166,3KAB,4BL,drug_like,13,2.19,True,1,1.886555550773378,-5.4,1.8865555507733778,2.0435019527197005,-5.5,2.0435019527197005,,
3KAC_4BX_A1,3KAC,4BX,drug_like,14,2.0,True,3,0.9982410959854762,-6.0,0.9982410959854762,3.4785441228027736,-5.5,3.4785441228027736,,
