arm,stratum,n,success_rate_2A,n_success_2A,success_rate_1A,median_rmsd_a,mean_rmsd_a,q25_a,q75_a,min_a,max_a,ci95_low,ci95_high
self,all,80,0.1625,13,0.125,8.426,7.691,2.788,11.341,0.361,16.066,0.0975,0.2584
self,drug_like,60,0.2167,13,0.1667,7.175,6.917,2.325,11.049,0.361,15.646,0.1312,0.3362
self,fragment,20,0.0,0,0.0,10.958,10.014,8.101,12.512,2.122,16.066,0.0,0.1611
self,ref_in_production_box,65,0.2,13,0.1538,7.025,6.834,2.329,10.806,0.361,16.066,0.1208,0.3127
self,drug_like_and_in_box,54,0.2407,13,0.1852,5.834,6.282,2.079,10.305,0.361,15.492,0.1464,0.3695
cross,all,80,0.05,4,0.0,7.344,9.817,3.69,12.228,1.641,35.007,0.0196,0.1216
cross,drug_like,60,0.0333,2,0.0,6.122,8.117,3.69,10.005,1.641,35.007,0.0092,0.1136
cross,fragment,20,0.1,2,0.0,14.069,14.915,8.679,21.18,1.652,34.054,0.0279,0.301
cross,ref_in_production_box,65,0.0615,4,0.0,5.543,6.666,3.333,9.897,1.641,22.07,0.0242,0.1478
cross,drug_like_and_in_box,54,0.037,2,0.0,5.531,6.315,3.428,9.144,1.641,14.187,0.0102,0.1254
