pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier,case_id,lig_chain,lig_resseq,n_ligand_atoms_modelled,n_altloc_atoms_skipped,min_dist_to_protein_a,link_record,is_covalent,receptor_atoms_kept,solvent_atoms_removed,ligand_atoms_removed,other_het_retained,receptor_pdbqt,ref_pdb,box_json,host_chain,ref_6vaj_pdb,ca_fit_rmsd_a,n_fit_residues,cross_dock_ready,ref_frac_atoms_in_prod_box,ref_centroid_dist_to_prod_centre_a,ref_in_prod_box,status,drop_reason
2XP3,X-RAY DIFFRACTION,2.0,B21,5-(2-METHOXYPHENYL)-2-FUROIC ACID,C12 H10 O4,218.205,non-polymer,COc1ccccc1c2ccc(o2)C(=O)O,16,A,ligand,drug_like,2XP3_B21_A1165,A,1165,16,0,2.527,False,False,1173.0,90.0,16.0,17.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP3/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP3_B21_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP3_B21_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP3_B21_A1165_ref6vaj.pdb,0.403,111.0,True,1.0,2.06,True,case,
2XP4,X-RAY DIFFRACTION,1.8,G14,2-phenyl-1H-imidazole-4-carboxylic acid,C10 H8 N2 O2,188.183,non-polymer,c1ccc(cc1)c2[nH]cc(n2)C(=O)O,14,A,ligand,drug_like,2XP4_G14_A1165,A,1165,14,0,2.777,False,False,1168.0,119.0,14.0,18.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP4/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP4_G14_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP4_G14_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP4_G14_A1165_ref6vaj.pdb,0.335,111.0,True,1.0,2.17,True,case,
2XP5,X-RAY DIFFRACTION,1.9,4FF,5-METHYL-2-PHENYL-1H-IMIDAZOLE-4-CARBOXYLIC ACID,C11 H10 N2 O2,202.209,non-polymer,Cc1c(nc([nH]1)c2ccccc2)C(=O)O,15,A,ligand,drug_like,2XP5_4FF_A1165,A,1165,15,0,2.394,False,False,1179.0,120.0,15.0,23.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP5/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP5_4FF_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP5_4FF_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP5_4FF_A1165_ref6vaj.pdb,0.372,111.0,True,1.0,2.35,True,case,
2XP6,X-RAY DIFFRACTION,1.9,4G2,2-(3-CHLORO-PHENYL)-5-METHYL-1H-IMIDAZOLE-4-CARBOXYLIC ACID,C11 H9 Cl N2 O2,236.654,non-polymer,Cc1c(nc([nH]1)c2cccc(c2)Cl)C(=O)O,16,A,ligand,drug_like,2XP6_4G2_A1165,A,1165,16,0,2.636,False,False,1174.0,136.0,16.0,22.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP6/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP6_4G2_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP6_4G2_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP6_4G2_A1165_ref6vaj.pdb,0.335,110.0,True,1.0,2.23,True,case,
2XP7,X-RAY DIFFRACTION,2.0,4F8,"2-PHENYL-1H-IMIDAZOLE-4,5-DICARBOXYLIC ACID",C11 H8 N2 O4,232.192,non-polymer,c1ccc(cc1)c2[nH]c(c(n2)C(=O)O)C(=O)O,17,A,ligand,drug_like,2XP7_4F8_A1164,A,1164,17,0,2.752,False,False,1177.0,138.0,17.0,24.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP7/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP7_4F8_A1164_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP7_4F8_A1164.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP7_4F8_A1164_ref6vaj.pdb,0.396,111.0,True,1.0,2.72,True,case,
2XP8,X-RAY DIFFRACTION,2.1,4FY,4-(MORPHOLIN-4-YLCARBONYL)-2-PHENYL-1H-IMIDAZOLE-5-CARBOXYLIC ACID,C15 H15 N3 O4,301.297,non-polymer,c1ccc(cc1)c2[nH]c(c(n2)C(=O)N3CCOCC3)C(=O)O,22,A,ligand,drug_like,2XP8_4FY_A1165,A,1165,22,0,2.666,False,False,1168.0,18.0,22.0,12.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP8/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP8_4FY_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP8_4FY_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP8_4FY_A1165_ref6vaj.pdb,0.421,111.0,True,1.0,3.21,True,case,
2XP9,X-RAY DIFFRACTION,1.9,4G8,4-[BENZYL(CARBOXYMETHYL)CARBAMOYL]-2-PHENYL-1H-IMIDAZOLE-5-CARBOXYLIC ACID,C20 H17 N3 O5,379.366,non-polymer,c1ccc(cc1)CN(CC(=O)O)C(=O)c2c([nH]c(n2)c3ccccc3)C(=O)O,28,A,ligand,drug_like,2XP9_4G8_A1165,A,1165,28,0,2.671,False,False,1164.0,145.0,28.0,17.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XP9/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XP9_4G8_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XP9_4G8_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XP9_4G8_A1165_ref6vaj.pdb,0.363,111.0,True,1.0,3.93,True,case,
2XPA,X-RAY DIFFRACTION,1.9,4G5,4-[(2-amino-2-oxoethyl)(methyl)carbamoyl]-2-phenyl-1H-imidazole-5-carboxylic acid,C14 H14 N4 O4,302.285,non-polymer,CN(CC(=O)N)C(=O)c1c([nH]c(n1)c2ccccc2)C(=O)O,22,A,ligand,drug_like,2XPA_4G5_A1165,A,1165,22,0,2.78,False,False,1177.0,108.0,22.0,17.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XPA/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XPA_4G5_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XPA_4G5_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XPA_4G5_A1165_ref6vaj.pdb,0.371,111.0,True,1.0,3.42,True,case,
2XPB,X-RAY DIFFRACTION,2.0,4GE,5-[BENZYL(METHYL)CARBAMOYL]-2-(3-CHLOROPHENYL)-1H-IMIDAZOLE-4-CARBOXYLIC ACID,C19 H16 Cl N3 O3,369.802,non-polymer,CN(Cc1ccccc1)C(=O)c2c(nc([nH]2)c3cccc(c3)Cl)C(=O)O,26,A,ligand,drug_like,2XPB_4GE_A1165,A,1165,26,0,2.307,False,False,1165.0,104.0,26.0,9.0,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/receptors/2XPB/receptor.pdbqt,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs/2XPB_4GE_A1165_ref.pdb,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/boxes/2XPB_4GE_A1165.json,A,/data/lab_vm/append_only/inhibition/05_redock_benchmark/cases_1/refs_6vaj/2XPB_4GE_A1165_ref6vaj.pdb,0.34,111.0,True,1.0,3.66,True,case,
3I6C,X-RAY DIFFRACTION,1.3,GIA,3-fluoro-N-(naphthalen-2-ylcarbonyl)-D-phenylalanine,C20 H16 F N O3,337.344,non-polymer,c1ccc2cc(ccc2c1)C(=O)N[C@H](Cc3cccc(c3)F)C(=O)O,25,"A,B",ligand,drug_like,3I6C_GIA_A301,A,301,8,0,3.061,False,False,,,,,,,,,,,,,,,,drop,atom_count_mismatch_8_modelled_vs_25_in_chem_comp
