case_id,tier,heavy_atoms,box_edge_a,tight_top1_rmsd_a,tight_bestofn_rmsd_a
2XP3_B21_A1165,drug_like,16,15.1,2.468913159165385,0.8316349484599589
2XP4_G14_A1165,drug_like,14,15.3,0.6538873865473427,0.21351814911149808
2XP5_4FF_A1165,drug_like,15,15.4,0.5658242954604663,0.5658242954604663
2XP6_4G2_A1165,drug_like,16,15.6,0.2995485144346398,0.2995485144346398
2XP7_4F8_A1164,drug_like,17,16.1,0.7992103455727959,0.29932256847755423
2XP8_4FY_A1165,drug_like,22,17.0,4.077535000685852,1.2513474374013434
2XP9_4G8_A1165,drug_like,28,17.7,1.2356226307875253,1.2356226307875253
2XPA_4G5_A1165,drug_like,22,17.1,4.268355602038629,1.3622636241998765
2XPB_4GE_A1165,drug_like,26,17.9,6.305067821266416,1.9049246401407545
3IKD_J9Z_A501,drug_like,26,18.8,0.790829822207223,0.790829822207223
3IKG_J8Z_A1,drug_like,27,19.0,1.6164204394392683,0.7840621904661125
3JYJ_JZI_A301,drug_like,26,17.7,5.961744782037709,0.7268398141162986
3KAB_4BL_A166,drug_like,13,14.6,2.0542891152977396,1.756358558101216
3KAC_4BX_A1,drug_like,14,14.8,0.9876112595550939,0.7942304901151629
3KAD_4C0_A164,drug_like,25,17.5,5.412889021585423,4.737285784075096
3KAF_4D9_A164,drug_like,26,17.5,7.89218940569628,1.1897342463437273
3KAG_4D7_A164,drug_like,23,17.2,4.2623156647633405,1.5987902083871983
3KAH_4DH_A165,drug_like,29,17.9,0.9784898815398454,0.973866184250991
3KAI_4FI_A165,drug_like,30,18.5,7.7944975570377,1.39781044256127
3KCE_4BY_A165,drug_like,13,14.5,0.5501016689247963,0.5501016689247963
3NTP_RZD_A164,drug_like,31,18.8,1.2375796618217516,1.112905917247797
3ODK_ODK_A165,drug_like,14,14.8,2.4950194531162624,0.8141331498681807
3OOB_KDH_A402,drug_like,33,18.9,9.560573410595932,6.575316298418079
3TC5_3T5_A164,drug_like,32,19.4,0.5178448428342215,0.5178448428342215
3TCZ_R2Z_A1,drug_like,30,18.6,,
3TDB_3TB_A1,drug_like,39,20.1,,
4TNS_REA_A201,drug_like,22,18.3,3.4969849221085507,2.631138485004681
4TYO_39X_A201,drug_like,28,18.2,0.6058761070902674,0.6058761070902674
9INR_A1D9K_A201,drug_like,41,21.7,6.413962878352045,5.179543187786578
9JYO_A1EDY_A301,drug_like,11,14.4,2.0598869562981537,1.1275583032698253
9JYP_A1EDZ_A301,drug_like,12,14.7,4.542861038670087,4.089983078612104
9JYR_A1ED0_A301,fragment,11,13.9,2.967843615703619,1.2174273545622205
9JYS_A1ED1_A301,drug_like,11,14.7,1.7210438428729555,1.4539490112355133
9JYT_A1EDX_A202,drug_like,12,13.7,3.052436130917949,1.848945149718257
9JYV_A1ED2_A202,fragment,8,13.1,2.5290073151337458,2.5290073151337458
9JZ2_A1ED3_A301,drug_like,12,14.8,8.300285984028903,4.519935434642106
9JZ3_A1ED4_A301,fragment,11,14.1,2.178068472919819,2.178068472919819
9JZ4_A1ED5_A301,fragment,10,13.8,0.3721385494678015,0.3721385494678015
9JZ6_A1ED7_A301,fragment,6,12.6,8.16285774101203,1.1960868140175567
9JZG_A1ED8_A301,drug_like,11,14.4,3.545278768369921,3.5355038216253254
9JZS_A1AT6_A301,drug_like,12,14.0,4.050990105311705,2.057997165530928
9JZU_A1ED9_A301,fragment,8,13.3,1.6040646417772568,1.2985775390788192
9JZV_A1EEA_A202,fragment,8,13.4,3.239770940977156,2.6355806049142183
9KE5_A1EE3_A202,drug_like,11,13.9,4.171755930714852,0.5152543943617469
9KE7_A1EE7_A301,drug_like,13,14.5,8.395570691190041,7.805729384930611
9KE9_A1BDV_A201,drug_like,11,14.1,2.065642845129904,2.0574450174913563
9KEB_A1EE8_A301,drug_like,16,15.4,7.312781088614646,3.9227830203823406
9KEC_A1EE6_A202,drug_like,15,16.4,11.156951044080099,3.2028193101287084
9KEL_A1EFA_A202,drug_like,12,14.2,8.555525524478318,2.8420846222447347
9KEQ_A1EFB_A201,drug_like,14,15.2,8.216193244354189,8.127222737723596
9KES_A1EFC_A201,drug_like,14,15.2,7.138843128566821,6.084141499481605
9KEW_A1EFD_A201,drug_like,11,13.9,5.3346563747221465,4.36320766075935
9KEY_A1EFE_A201,drug_like,11,14.0,5.693022483707577,4.2120245078282075
9KEZ_DBJ_A301,drug_like,12,14.3,3.6650288311735473,1.0453105997740568
9KF0_A1EFF_A301,fragment,9,13.7,0.7975250605606202,0.7975250605606202
9KFC_A1AYA_A301,drug_like,15,15.4,8.49006092243552,7.3648373007600565
