pdb_id,method,resolution_a,title,n_nonpolymer_entities
1F8A,X-RAY DIFFRACTION,1.84,STRUCTURAL BASIS FOR THE PHOSPHOSERINE-PROLINE RECOGNITION BY GROUP IV WW DOMAINS,0
1I6C,SOLUTION NMR,,SOLUTION STRUCTURE OF PIN1 WW DOMAIN,0
1I8G,SOLUTION NMR,,SOLUTION STRUCTURE OF PIN1 WW DOMAIN COMPLEXED WITH CDC25 PHOSPHOTHREONINE PEPTIDE,0
1I8H,SOLUTION NMR,,SOLUTION STRUCTURE OF PIN1 WW DOMAIN COMPLEXED WITH HUMAN TAU PHOSPHOTHREONINE PEPTIDE,0
1NMV,SOLUTION NMR,,Solution structure of human Pin1,0
1PIN,X-RAY DIFFRACTION,1.35,PIN1 PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FROM HOMO SAPIENS,4
1ZCN,X-RAY DIFFRACTION,1.9,human Pin1 Ng mutant,2
2F21,X-RAY DIFFRACTION,1.5,human Pin1 Fip mutant,1
2ITK,X-RAY DIFFRACTION,1.45,human Pin1 bound to D-PEPTIDE,1
2KBU,SOLUTION NMR,,NMR solution structure of Pin1 WW domain mutant with beta turn mimic at position 12,0
2KCF,SOLUTION NMR,,The NMR solution structure of the isolated Apo Pin1 WW domain,0
2LB3,SOLUTION NMR,,Structure of the WW domain of PIN1 in complex with a human phosphorylated Smad3 derived peptide,0
2M8I,SOLUTION NMR,,Structure of Pin1 WW domain,0
2M8J,SOLUTION NMR,,Structure of Pin1 WW domain phospho-mimic S16E,0
2M9E,SOLUTION NMR,,NMR solution structure of Pin1 WW domain mutant 5-1,0
2M9F,SOLUTION NMR,,NMR solution structure of Pin1 WW domain mutant 5-1g,1
2M9I,SOLUTION NMR,,NMR solution structure of Pin1 WW domain variant 6-1,0
2M9J,SOLUTION NMR,,NMR solution structure of Pin1 WW domain mutant 6-1g,1
2Q5A,X-RAY DIFFRACTION,1.5,human Pin1 bound to L-PEPTIDE,1
2RUC,SOLUTION NMR,,Solution structure of the peptidyl prolyl cis-trans isomerase domain of human Pin1 with sulfate ion,0
2RUD,SOLUTION NMR,,Solution structure of the peptidyl prolyl cis-trans isomerase domain of C113D mutant human Pin1 with sulfate ion,0
2RUQ,SOLUTION NMR,,solution structure of human Pin1 PPIase mutant C113A,0
2RUR,SOLUTION NMR,,Solution structure of Human Pin1 PPIase C113S mutant,0
